MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
             R2022b Update 1 (9.13.0.2080170) 64-bit (glnxa64)
                             September 28, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
res_norm = 0.000131 after 3000 iterations
res_norm = 0.000122 after 3100 iterations
res_norm = 0.000113 after 3200 iterations
res_norm = 0.000105 after 3300 iterations
res_norm = 0.000098 after 3400 iterations
res_norm = 0.000092 after 3500 iterations
res_norm = 0.000086 after 3600 iterations
res_norm = 0.000080 after 3700 iterations
res_norm = 0.000075 after 3800 iterations
res_norm = 0.000070 after 3900 iterations
res_norm = 0.000065 after 4000 iterations
res_norm = 0.000061 after 4100 iterations
Problem solved in 4120 iterations
res_norm = 0.011769 after 100 iterations
res_norm = 0.006589 after 200 iterations
res_norm = 0.004431 after 300 iterations
res_norm = 0.003244 after 400 iterations
res_norm = 0.002497 after 500 iterations
res_norm = 0.001986 after 600 iterations
res_norm = 0.001618 after 700 iterations
res_norm = 0.001342 after 800 iterations
res_norm = 0.001129 after 900 iterations
res_norm = 0.000961 after 1000 iterations
res_norm = 0.000827 after 1100 iterations
res_norm = 0.000717 after 1200 iterations
res_norm = 0.000627 after 1300 iterations
res_norm = 0.000552 after 1400 iterations
res_norm = 0.000489 after 1500 iterations
res_norm = 0.000435 after 1600 iterations
res_norm = 0.000390 after 1700 iterations
res_norm = 0.000351 after 1800 iterations
res_norm = 0.000317 after 1900 iterations
res_norm = 0.000287 after 2000 iterations
res_norm = 0.000262 after 2100 iterations
res_norm = 0.000239 after 2200 iterations
res_norm = 0.000219 after 2300 iterations
res_norm = 0.000201 after 2400 iterations
res_norm = 0.000185 after 2500 iterations
res_norm = 0.000171 after 2600 iterations
res_norm = 0.000158 after 2700 iterations
res_norm = 0.000146 after 2800 iterations
res_norm = 0.000135 after 2900 iterations
res_norm = 0.000126 after 3000 iterations
res_norm = 0.000117 after 3100 iterations
res_norm = 0.000109 after 3200 iterations
res_norm = 0.000102 after 3300 iterations
res_norm = 0.000095 after 3400 iterations
res_norm = 0.000089 after 3500 iterations
res_norm = 0.000083 after 3600 iterations
res_norm = 0.000078 after 3700 iterations
res_norm = 0.000073 after 3800 iterations
res_norm = 0.000069 after 3900 iterations
res_norm = 0.000065 after 4000 iterations
res_norm = 0.000061 after 4100 iterations
Problem solved in 4149 iterations
res_norm = 0.011807 after 100 iterations
res_norm = 0.006650 after 200 iterations
res_norm = 0.004482 after 300 iterations
res_norm = 0.003287 after 400 iterations
res_norm = 0.002533 after 500 iterations
res_norm = 0.002019 after 600 iterations
res_norm = 0.001648 after 700 iterations
res_norm = 0.001370 after 800 iterations
res_norm = 0.001155 after 900 iterations
res_norm = 0.000986 after 1000 iterations
res_norm = 0.000850 after 1100 iterations
res_norm = 0.000739 after 1200 iterations
res_norm = 0.000648 after 1300 iterations
