MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
             R2022b Update 1 (9.13.0.2080170) 64-bit (glnxa64)
                             September 28, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
res_norm = 0.000119 after 1200 iterations
res_norm = 0.000096 after 1300 iterations
res_norm = 0.000078 after 1400 iterations
res_norm = 0.000064 after 1500 iterations
res_norm = 0.000053 after 1600 iterations
res_norm = 0.000044 after 1700 iterations
Problem solved in 1787 iterations
res_norm = 0.014020 after 100 iterations
res_norm = 0.004090 after 200 iterations
res_norm = 0.001949 after 300 iterations
res_norm = 0.001189 after 400 iterations
res_norm = 0.000796 after 500 iterations
res_norm = 0.000562 after 600 iterations
res_norm = 0.000410 after 700 iterations
res_norm = 0.000309 after 800 iterations
res_norm = 0.000237 after 900 iterations
res_norm = 0.000185 after 1000 iterations
res_norm = 0.000146 after 1100 iterations
res_norm = 0.000117 after 1200 iterations
res_norm = 0.000094 after 1300 iterations
res_norm = 0.000076 after 1400 iterations
res_norm = 0.000062 after 1500 iterations
res_norm = 0.000051 after 1600 iterations
res_norm = 0.000042 after 1700 iterations
Problem solved in 1756 iterations
res_norm = 0.011342 after 100 iterations
res_norm = 0.003716 after 200 iterations
res_norm = 0.001889 after 300 iterations
res_norm = 0.001157 after 400 iterations
res_norm = 0.000770 after 500 iterations
res_norm = 0.000539 after 600 iterations
res_norm = 0.000391 after 700 iterations
res_norm = 0.000293 after 800 iterations
res_norm = 0.000224 after 900 iterations
res_norm = 0.000174 after 1000 iterations
res_norm = 0.000136 after 1100 iterations
res_norm = 0.000108 after 1200 iterations
res_norm = 0.000087 after 1300 iterations
res_norm = 0.000070 after 1400 iterations
res_norm = 0.000057 after 1500 iterations
res_norm = 0.000047 after 1600 iterations
res_norm = 0.000038 after 1700 iterations
Problem solved in 1711 iterations
res_norm = 0.012586 after 100 iterations
res_norm = 0.003907 after 200 iterations
res_norm = 0.001932 after 300 iterations
res_norm = 0.001184 after 400 iterations
res_norm = 0.000791 after 500 iterations
res_norm = 0.000556 after 600 iterations
res_norm = 0.000405 after 700 iterations
res_norm = 0.000303 after 800 iterations
res_norm = 0.000231 after 900 iterations
res_norm = 0.000180 after 1000 iterations
res_norm = 0.000141 after 1100 iterations
res_norm = 0.000111 after 1200 iterations
res_norm = 0.000089 after 1300 iterations
res_norm = 0.000072 after 1400 iterations
res_norm = 0.000058 after 1500 iterations
res_norm = 0.000047 after 1600 iterations
res_norm = 0.000039 after 1700 iterations
Problem solved in 1715 iterations
res_norm = 0.012263 after 100 iterations
res_norm = 0.003759 after 200 iterations
res_norm = 0.001842 after 300 iterations
res_norm = 0.001120 after 400 iterations
res_norm = 0.000745 after 500 iterations
res_norm = 0.000521 after 600 iterations
res_norm = 0.000379 after 700 iterations
res_norm = 0.000284 after 800 iterations
res_norm = 0.000218 after 900 iterations
res_norm = 0.000170 after 1000 iterations
res_norm = 0.000134 after 1100 iterations
res_norm = 0.000107 after 1200 iterations
res_norm = 0.000086 after 1300 iterations
res_norm = 0.000070 after 1400 iterations
res_norm = 0.000058 after 1500 iterations
res_norm = 0.000048 after 1600 iterations
res_norm = 0.000040 after 1700 iterations
Problem solved in 1733 iterations
res_norm = 0.013852 after 100 iterations
res_norm = 0.004027 after 200 iterations
res_norm = 0.001907 after 300 iterations
res_norm = 0.001158 after 400 iterations
res_norm = 0.000775 after 500 iterations
res_norm = 0.000546 after 600 iterations
res_norm = 0.000400 after 700 iterations
res_norm = 0.000299 after 800 iterations
res_norm = 0.000230 after 900 iterations
res_norm = 0.000180 after 1000 iterations
res_norm = 0.000142 after 1100 iterations
res_norm = 0.000114 after 1200 iterations
res_norm = 0.000092 after 1300 iterations
res_norm = 0.000075 after 1400 iterations
res_norm = 0.000061 after 1500 iterations
res_norm = 0.000050 after 1600 iterations
res_norm = 0.000041 after 1700 iterations
Problem solved in 1749 iterations
res_norm = 0.013182 after 100 iterations
res_norm = 0.003876 after 200 iterations
res_norm = 0.001859 after 300 iterations
res_norm = 0.001132 after 400 iterations
res_norm = 0.000755 after 500 iterations
res_norm = 0.000531 after 600 iterations
res_norm = 0.000388 after 700 iterations
res_norm = 0.000291 after 800 iterations
res_norm = 0.000224 after 900 iterations
res_norm = 0.000174 after 1000 iterations
res_norm = 0.000137 after 1100 iterations
res_norm = 0.000110 after 1200 iterations
res_norm = 0.000088 after 1300 iterations
res_norm = 0.000072 after 1400 iterations
res_norm = 0.000059 after 1500 iterations
res_norm = 0.000048 after 1600 iterations
res_norm = 0.000040 after 1700 iterations
Problem solved in 1738 iterations
res_norm = 0.014248 after 100 iterations
res_norm = 0.004020 after 200 iterations
res_norm = 0.001867 after 300 iterations
res_norm = 0.001120 after 400 iterations
res_norm = 0.000738 after 500 iterations
